SCENE_ID,REASON
LT05_034028_19840322,Cloud/Missing
LT05_034036_19840322,Cloud/Missing
LT05_015030_19840324,Cloud/Snow/Missing
LT05_018032_19840327,Cloud/Missing
LT05_018033_19840327,Cloud/Missing
LT05_018034_19840327,Cloud/Cirrus/Missing
LT05_018035_19840327,Cloud/Cirrus/Missing
LT05_018037_19840327,Cloud/Missing
LT05_022028_19840406,Cloud/Missing
LT05_022031_19840406,Cloud/Snow/Missing
LT05_038027_19840406,Cloud/Missing
LT05_038028_19840406,Cloud/Missing
LT05_038029_19840406,Cloud/Snow/Missing
LT05_038034_19840406,Cloud/Snow/Missing
LT05_038036_19840406,Cloud/Snow/Missing
LT05_038037_19840406,Cloud/Missing
LT05_029029_19840407,Cloud/Cirrus/Missing
LT05_029037_19840407,Cloud/Snow/Missing
LT05_029038_19840407,Cloud/Missing
LT05_029039_19840407,Cloud/Missing
LT05_020031_19840408,Cloud/Missing
LT05_020035_19840408,Cloud/Missing
LT05_020036_19840408,Cloud/Cirrus/Missing
LT05_020037_19840408,Cloud/Missing
LT05_020038_19840408,Cloud/Missing
LT05_018034_19840410,Cloud/Missing
LT05_018039_19840410,Cloud/Missing
LT05_034025_19840410,Cloud/Missing
LT05_034026_19840410,Cloud/Missing
LT05_034027_19840410,Cloud/Snow/Missing
LT05_034028_19840410,Cloud/Missing
LT05_025031_19840411,Cloud/Snow/Missing
LT05_025032_19840411,Cloud/Snow/Missing
LT05_025036_19840411,Cloud/Missing
LT05_016042_19840412,Cloud/Missing
LT05_032029_19840412,Cloud/Missing
LT05_032030_19840412,Cloud/Missing
LT05_048026_19840412,Cloud/Snow/Missing
LT05_014028_19840414,Cloud/Missing
LT05_014035_19840414,Cloud/Missing
LT05_014036_19840414,Cloud/Missing
LT05_030028_19840414,Cloud/Missing
LT05_030029_19840414,Cloud/Missing
LT05_030030_19840414,Cloud/Snow/Missing
LT05_030032_19840414,Cloud/Missing
LT05_021027_19840415,Cloud/Snow/Missing
LT05_021037_19840415,Cloud
LT05_044029_19840416,Cloud/Snow/Missing
LT05_019036_19840417,Cloud/Missing
LT05_019037_19840417,Cloud/Missing
LT05_026030_19840418,Cloud/Missing
LT05_026038_19840418,Cloud/Missing
LT05_042027_19840418,Cloud/Snow/Missing
LT05_042028_19840418,Cloud/Snow/Missing
LT05_017033_19840419,Cloud/Missing
LT05_017034_19840419,Cloud/Missing
LT05_017035_19840419,Cloud/Snow/Missing/Cirrus
LT05_017036_19840419,Cloud/Missing
LT05_017037_19840419,Cloud/Cirrus/Missing
LT05_024039_19840420,Cloud/Missing
LT05_031029_19840421,Cloud/Missing
LT05_022028_19840422,Cloud/Missing
LT05_022030_19840422,Cloud/Snow/Missing
LT05_022039_19840422,Cloud/Missing
LT05_022040_19840422,Cloud/Missing
LT05_020028_19840424,Cloud/Snow/Missing
LT05_025027_19840427,Cloud/Snow/Missing
LT05_025029_19840427,Cloud/Snow/Missing
LT05_025030_19840427,Cloud/Missing
LT05_041031_19840427,Cloud/Missing
LT05_041032_19840427,Cloud/Missing
LT05_041033_19840427,Cloud/Missing
LT05_023031_19840429,Cloud/Missing
LT05_023039_19840429,Cloud/Missing
LT05_039028_19840429,Cloud/Snow/Missing
LT05_039029_19840429,Cloud/Snow/Missing
LT05_039030_19840429,Cloud/Missing
LT05_021037_19840501,Cloud/Missing
LT05_021038_19840501,Cloud/Missing
LT05_021039_19840501,Cloud/Missing
